lat,lon,allocatedcity,concat
54.3,-0.9,scarborough,54.3:-0.9
51.5,-3.3,cardiff,51.5:-3.3
52.4,0.2,peterborough,52.4:0.2
53.3,-3.5,corwen,53.3:-3.5
52.6,0.1,peterborough,52.6:0.1
56.5,-3.1,edinburgh,56.5:-3.1
52.3,0,peterborough,52.3:0
52.8,-1.3,birmingham,52.8:-1.3
54.5,-1.2,newcastle,54.5:-1.2
53.7,-2.6,warrington,53.7:-2.6
54.7,-5.7,dumfries,54.7:-5.7
53.7,-1.4,sheffield,53.7:-1.4
51.9,0.2,london,51.9:0.2
52.3,-1.2,birmingham,52.3:-1.2
51.2,1.4,canterbury,51.2:1.4
51.3,1.1,canterbury,51.3:1.1
51.3,0.7,canterbury,51.3:0.7
55.7,-4.7,edinburgh,55.7:-4.7
51.3,0.3,london,51.3:0.3
52.9,-0.9,peterborough,52.9:-0.9
51.2,0.6,canterbury,51.2:0.6
51.3,0.4,london,51.3:0.4
56.4,-3.8,edinburgh,56.4:-3.8
51,-0.7,brighton,51:-0.7
51.2,-1,salisbury,51.2:-1
51.3,0.1,london,51.3:0.1
51.2,-0.1,london,51.2:-0.1
51.2,0.1,london,51.2:0.1
53.1,-1.3,sheffield,53.1:-1.3
53.3,-0.3,sheffield,53.3:-0.3
54.8,-1.5,newcastle,54.8:-1.5
50.9,-0.6,brighton,50.9:-0.6
57.1,-2.5,Aberdeen,57.1:-2.5
55.9,-3.3,edinburgh,55.9:-3.3
52.9,-4.1,corwen,52.9:-4.1
53.6,-1.7,sheffield,53.6:-1.7
51.5,0.3,london,51.5:0.3
51.8,-2.3,oxford,51.8:-2.3
51.8,-3,cardiff,51.8:-3
52.2,0.7,norwich,52.2:0.7
53,-1.5,sheffield,53:-1.5
51.1,-1.5,salisbury,51.1:-1.5
51.8,-1.6,oxford,51.8:-1.6
51.7,0.4,london,51.7:0.4
52.9,-2.5,birmingham,52.9:-2.5
53.7,-1.3,sheffield,53.7:-1.3
54.2,-0.5,scarborough,54.2:-0.5
52.1,-1.7,oxford,52.1:-1.7
51.5,-3.6,cardiff,51.5:-3.6
56.5,-3,edinburgh,56.5:-3
50.3,-3.8,okehampton,50.3:-3.8
51.6,-1.7,oxford,51.6:-1.7
54,-1.6,sheffield,54:-1.6
54.2,-2.8,kendal,54.2:-2.8
52.8,-0.9,peterborough,52.8:-0.9
51.6,-2.1,oxford,51.6:-2.1
51.6,0.4,london,51.6:0.4
50.9,-2.6,salisbury,50.9:-2.6
51.4,-1,oxford,51.4:-1
52.6,-0.2,peterborough,52.6:-0.2
51.7,-2,oxford,51.7:-2
51.6,-2,oxford,51.6:-2
55.9,-3.8,edinburgh,55.9:-3.8
52,-0.6,oxford,52:-0.6
51.5,-2.8,cardiff,51.5:-2.8
51.9,-0.5,london,51.9:-0.5
51.5,0.4,london,51.5:0.4
53.2,-2.2,warrington,53.2:-2.2
51.9,0,london,51.9:0
53.6,-2,warrington,53.6:-2
52.5,-1.6,birmingham,52.5:-1.6
51.8,0.7,london,51.8:0.7
55.7,-4.1,edinburgh,55.7:-4.1
50.9,0.6,brighton,50.9:0.6
53.3,-2.5,warrington,53.3:-2.5
53.3,-1.3,sheffield,53.3:-1.3
52,-0.4,london,52:-0.4
53.2,-3.2,corwen,53.2:-3.2
54.5,-1.1,scarborough,54.5:-1.1
52.3,-3.1,birmingham,52.3:-3.1
51.2,-0.3,london,51.2:-0.3
51,-1.5,salisbury,51:-1.5
51,-1.3,salisbury,51:-1.3
51.7,-3.9,cardiff,51.7:-3.9
57.5,-2,Aberdeen,57.5:-2
50.8,-0.9,brighton,50.8:-0.9
51.3,-0.2,london,51.3:-0.2
50.8,-0.6,brighton,50.8:-0.6
50.8,-0.8,brighton,50.8:-0.8
53,-1.8,sheffield,53:-1.8
51,-2.6,salisbury,51:-2.6
53.6,-1.2,sheffield,53.6:-1.2
53.9,-1.8,sheffield,53.9:-1.8
57.7,-2.1,Aberdeen,57.7:-2.1
52.4,0.7,norwich,52.4:0.7
55.9,-3.7,edinburgh,55.9:-3.7
52.5,0,peterborough,52.5:0
50.8,-1.2,salisbury,50.8:-1.2
50.6,-3.5,okehampton,50.6:-3.5
51.1,-0.7,brighton,51.1:-0.7
57.5,-4.3,Fort William,57.5:-4.3
52.2,-2.2,birmingham,52.2:-2.2
50.6,-4.9,okehampton,50.6:-4.9
53.3,-3.1,warrington,53.3:-3.1
52.5,-0.3,peterborough,52.5:-0.3
50.8,-1.8,salisbury,50.8:-1.8
55.5,-4.6,dumfries,55.5:-4.6
51.4,-2.1,salisbury,51.4:-2.1
51.8,-2.2,oxford,51.8:-2.2
56.1,-4.4,edinburgh,56.1:-4.4
51.4,-1.7,salisbury,51.4:-1.7
52.7,-1.8,birmingham,52.7:-1.8
51.2,-3,cardiff,51.2:-3
52,-1.4,oxford,52:-1.4
51.6,-1.9,oxford,51.6:-1.9
53.2,-4.1,corwen,53.2:-4.1
51.9,0.7,london,51.9:0.7
52.8,0.4,peterborough,52.8:0.4
